"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"CG18231","FBgn0036796","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG18233","FBgn0036795","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG18278","FBgn0033836","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Sulfatase"
"CG18749","FBgn0042182","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG1889","FBgn0030164","Drosophila Matrisome Genes","ECM-affiliated","",""
"CG2150","FBgn0003065","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG2444","FBgn0030326","Drosophila Matrisome Genes","Secreted Factors","",""
"CG2839","FBgn0031273","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG30046","FBgn0050046","Homologs/Orthologs to Mammalian Core Matrisome Genes","ECM Glycoproteins","","Spondin"
"CG30203","FBgn0050203","Homologs/Orthologs to Mammalian Core Matrisome Genes","ECM Glycoproteins","","Spondin"
"CG30280","FBgn0050280","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG31013","FBgn0051013","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG31016","FBgn0051016","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG31021","FBgn0051021","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG31077","FBgn0051077","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG31145","FBgn0051145","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","FAM 20 Kinase"
"CG31268","FBgn0051268","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG31371","FBgn0051371","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG31437","FBgn0051437","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG31524","FBgn0051524","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG31869","FBgn0051869","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG31997","FBgn0051997","Drosophila Matrisome Genes","Secreted Factors","",""
"CG32024","FBgn0052024","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG32036","FBgn0052036","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG32199","FBgn0052199","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG32201","FBgn0052201","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG32284","FBgn0052284","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG32302","FBgn0052302","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG32564","FBgn0052564","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG33258","FBgn0053258","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG33263","FBgn0053263","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG33293","FBgn0053293","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG3348","FBgn0040609","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG33985","FBgn0053985","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG33986","FBgn0053986","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34033","FBgn0054033","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG34041","FBgn0054041","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG34177","FBgn0085206","Drosophila Matrisome Genes","Secreted Factors","",""
"CG34178","FBgn0085207","Drosophila Matrisome Genes","Secreted Factors","",""
"CG34215","FBgn0085244","Drosophila Matrisome Genes","Secreted Factors","",""
"CG34220","FBgn0085249","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34282","FBgn0085311","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34324","FBgn0085353","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34426","FBgn0085455","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34427","FBgn0085456","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG34454","FBgn0085483","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG34460","FBgn0085489","Drosophila Matrisome Genes","Secreted Factors","",""
"CG34461","FBgn0250833","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; R&R Chitin-binding-domain-containing Proteins"
"CG34462","FBgn0085491","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG3631","FBgn0038268","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","FAM 20 Kinase"
"CG4115","FBgn0038017","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG41520","FBgn0087011","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG4174","FBgn0036793","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"CG42296","FBgn0259192","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG42342","FBgn0259244","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG42367","FBgn0259713","Drosophila Matrisome Genes","Apical Matrix","","R&R Chitin-binding-domain-containing Proteins"
"CG42397","FBgn0259748","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG42404","FBgn0259823","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG42494","FBgn0260026","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG42525","FBgn0260430","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG42728","FBgn0261681","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG42729","FBgn0261682","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG43055","FBgn0262357","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG43218","FBgn0262854","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG43294","FBgn0262986","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG43333","FBgn0263038","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG43366","FBgn0263109","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Serpin"
"CG43673","FBgn0263748","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG43797","FBgn0264341","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG43896","FBgn0264488","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG4835","FBgn0035607","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG4847","FBgn0034229","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG4982","FBgn0036598","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG5225","FBgn0038468","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG5335","FBgn0034365","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","Galectin"
"CG5367","FBgn0032228","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG5550","FBgn0034160","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG5756","FBgn0034301","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG5758","FBgn0032666","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG5883","FBgn0036225","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG5897","FBgn0036220","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG6055","FBgn0031918","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG6337","FBgn0033873","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG6347","FBgn0033874","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG6357","FBgn0033875","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"CG6403","FBgn0039453","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG6749","FBgn0036040","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","",""
"CG6788","FBgn0030880","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG6867","FBgn0030887","Drosophila Matrisome Genes","ECM-affiliated","","Collagen-domain-containing Proteins"
"CG6933","FBgn0036952","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG6996","FBgn0036950","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7017","FBgn0036951","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7203","FBgn0031942","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG7214","FBgn0031940","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG7248","FBgn0036229","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7252","FBgn0036226","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7290","FBgn0036949","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7298","FBgn0036948","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7408","FBgn0036765","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Sulfatase"
"CG7548","FBgn0035792","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG7587","FBgn0038523","Drosophila Matrisome Genes","Apical Matrix","","Glue"
"CG7714","FBgn0038645","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7715","FBgn0038646","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG7763","FBgn0040503","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG8192","FBgn0034030","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"CG8343","FBgn0040502","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"CG8460","FBgn0031996","Drosophila Matrisome Genes","Apical Matrix","","Chitinase"
"CG8541","FBgn0035788","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG8543","FBgn0035787","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG8642","FBgn0033312","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG8927","FBgn0038405","Drosophila Matrisome Genes","Apical Matrix","","Cuticle"
"CG9500","FBgn0031804","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG9572","FBgn0031089","Drosophila Matrisome Genes","Secreted Factors","",""
"CG9593","FBgn0038365","Drosophila Matrisome Genes","ECM-affiliated","","Fibrinogen-domain-containing Proteins"
"CG9698","FBgn0039784","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Prolyl 4-Hydroxylase"
"ChLD3","FBgn0032598","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins; Chitin Deacetylase"
"Cht10","FBgn0250907","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"Cht11","FBgn0029913","Drosophila Matrisome Genes","Apical Matrix","","Chitinase"
"Cht12","FBgn0050293","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitin-binding-domain-containing Proteins; Chitinase"
"Cht2","FBgn0022702","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitinase"
"Cht4","FBgn0022700","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"Cht5","FBgn0038180","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitin-binding-domain-containing Proteins; Chitinase"
"Cht6","FBgn0263132","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitin-binding-domain-containing Proteins; Chitinase"
"Cht7","FBgn0035398","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitin-binding-domain-containing Proteins; Chitinase"
"Cht8","FBgn0034580","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitin-binding-domain-containing Proteins; Chitinase"
"Cht9","FBgn0034582","Drosophila Matrisome Genes","Apical Matrix","","Cuticle; Chitinase"
"ckd","FBgn0035427","Drosophila Matrisome Genes","Apical Matrix","","Chitin-binding-domain-containing Proteins"
"Clect27","FBgn0031629","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM-affiliated","","C-type Lectin"
"clos","FBgn0261016","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Vitelline Membrane"
"Col4a1","FBgn0000299","Homologs/Orthologs to Mammalian Core Matrisome Genes","Collagens","","Basement Membrane"
"conv","FBgn0261269","Drosophila Matrisome Genes","ECM-affiliated","",""
"Cow","FBgn0039054","Homologs/Orthologs to Mammalian Core Matrisome Genes","Proteoglycans","",""
"Cp1","FBgn0013770","Homologs/Orthologs to Mammalian Matrisome-Associated Genes","ECM Regulators","","Cathepsin"
"Cp15","FBgn0000355","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp16","FBgn0000356","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp18","FBgn0000357","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp19","FBgn0000358","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp36","FBgn0000359","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp38","FBgn0000360","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp7Fa","FBgn0014464","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp7Fb","FBgn0014465","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
"Cp7Fc","FBgn0014466","Drosophila Matrisome Genes","Apical Matrix","","Eggshell; Chorion"
