"Gene","FBgn","Sub-group","Sub-sub-group","Confidence","Comments"
"bs","FBgn0004101","DNA-binding with transcription factor activity","SRF-TF","Medium","TFscore=6"
"bsh","FBgn0000529","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"BtbVII","FBgn0263108","DNA-binding with transcription factor activity","HTH_psq","","TFscore=6"
"btd","FBgn0000233","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=4"
"Bteb2","FBgn0025679","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"btn","FBgn0014949","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"Bug22","FBgn0032248","DNA-binding with transcription factor activity","","",""
"bun","FBgn0259176","DNA-binding with transcription factor activity","TSC22","","TFscore=NA"
"Bx","FBgn0265598","Maybe TF","","",""
"byn","FBgn0011723","DNA-binding with transcription factor activity","T-box","High","TFscore=1"
"C15","FBgn0004863","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"cact","FBgn0000250","Maybe TF","","",""
"cad","FBgn0000251","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"Caf1","FBgn0263979","Chromatin regulation","","",""
"Camta","FBgn0259234","DNA-binding with transcription factor activity","CG-1|TIG","High","TFscore=1"
"can","FBgn0011569","DNA-binding with transcription factor activity","","",""
"Cand1","FBgn0027568","Maybe TF","","",""
"cas","FBgn0004878","DNA-binding with transcription factor activity","AT_hook|zf-C2H2","High","TFscore=2"
"cato","FBgn0024249","DNA-binding with transcription factor activity","HLH","Medium","TFscore=6"
"caup","FBgn0015919","DNA-binding with transcription factor activity","Homeobox","High","TFscore=1"
"caz","FBgn0011571","DNA-binding with transcription factor activity","","",""
"cbt","FBgn0043364","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"Cdc5","FBgn0265574","DNA-binding with transcription factor activity","","Medium",""
"Cdk12","FBgn0037093","Maybe TF","","",""
"Cdk7","FBgn0263237","DNA-binding with transcription factor activity","","",""
"Cdk8","FBgn0015618","Co-factor","","",""
"Cdk9","FBgn0019949","DNA-binding with transcription factor activity","","",""
"Cenp-C","FBgn0266916","DNA-binding with transcription factor activity","AT_hook","","TFscore=NA"
"Cf2","FBgn0000286","DNA-binding with transcription factor activity","zf-C2H2","High","TFscore=1"
"cg","FBgn0000289","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10147","FBgn0035702","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10209","FBgn0033971","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG10232","FBgn0039108","Maybe TF","","",""
"CG1024","FBgn0027514","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10274","FBgn0035690","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10321","FBgn0034643","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10348","FBgn0032707","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10366","FBgn0032814","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10431","FBgn0032730","DNA-binding with transcription factor activity","THAP|zf-C2H2","Medium","TFscore=6"
"CG10445","FBgn0037531","DNA-binding with transcription factor activity","","",""
"CG10462","FBgn0032815","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10543","FBgn0034570","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10565","FBgn0037051","DNA-binding with transcription factor activity","Myb_DNA-binding","Medium","TFscore=6"
"CG10576","FBgn0035630","Maybe TF","","",""
"CG10631","FBgn0032817","DNA-binding with transcription factor activity","THAP|zf-C2H2","Medium","TFscore=6"
"CG10654","FBgn0036294","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10669","FBgn0039329","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10949","FBgn0032858","DNA-binding with transcription factor activity","AT_hook|MADF","Medium","TFscore=6"
"CG10959","FBgn0030010","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG10979","FBgn0037379","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11085","FBgn0030408","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG11122","FBgn0030266","DNA-binding with transcription factor activity","","Medium",""
"CG11247","FBgn0037120","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11294","FBgn0030058","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG11317","FBgn0039816","DNA-binding with transcription factor activity","","Medium",""
"CG11398","FBgn0040366","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11414","FBgn0035024","DNA-binding with transcription factor activity","","Medium",""
"CG11456","FBgn0037031","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11504","FBgn0039733","Maybe TF","MADF","","TFscore=NA"
"CG11539","FBgn0039859","Maybe TF","","",""
"CG11560","FBgn0036249","DNA-binding with transcription factor activity","zf-BED","","TFscore=NA"
"CG11617","FBgn0031232","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG11695","FBgn0030316","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11696","FBgn0030314","DNA-binding with transcription factor activity","AT_hook|zf-C2H2","Medium","TFscore=6"
"CG11710","FBgn0031115","DNA-binding with transcription factor activity","","Medium",""
"CG11723","FBgn0031391","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG11762","FBgn0037618","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11835","FBgn0031264","DNA-binding with transcription factor activity","","",""
"CG11876","FBgn0039635","Maybe TF","","",""
"CG11902","FBgn0028647","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11906","FBgn0034425","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11966","FBgn0037645","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG11970","FBgn0027503","DNA-binding with transcription factor activity","NFRKB","","TFscore=NA"
"CG12054","FBgn0039831","DNA-binding with transcription factor activity","","Medium",""
"CG12071","FBgn0039808","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12104","FBgn0035238","DNA-binding with transcription factor activity","HMG_box","Medium","TFscore=6"
"CG12155","FBgn0029957","Maybe TF","MADF","","TFscore=NA"
"CG12162","FBgn0037329","DNA-binding with transcription factor activity","","Medium",""
"CG12219","FBgn0043796","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12236","FBgn0029822","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12299","FBgn0032295","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG1233","FBgn0035137","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12391","FBgn0033581","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12605","FBgn0035481","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12659","FBgn0040929","Maybe TF","YL1_C","","TFscore=NA"
"CG12744","FBgn0033459","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12768","FBgn0037206","Maybe TF","MADF","","TFscore=NA"
"CG12769","FBgn0033252","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG12942","FBgn0033569","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG13123","FBgn0032150","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG13131","FBgn0032175","Maybe TF","","",""
"CG13185","FBgn0033661","Maybe TF","","",""
"CG13204","FBgn0033627","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG13287","FBgn0035643","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG13296","FBgn0035687","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG13458","FBgn0036479","DNA-binding with transcription factor activity","","Medium",""
"CG13488","FBgn0034670","Maybe TF","","",""
"CG13617","FBgn0039201","DNA-binding with transcription factor activity","","Medium",""
"CG13624","FBgn0039209","DNA-binding with transcription factor activity","bZIP","Medium","TFscore=6"
"CG13773","FBgn0042092","Maybe TF","","",""
"CG13775","FBgn0031874","DNA-binding with transcription factor activity","zf-BED","Medium","TFscore=6"
"CG13796","FBgn0031939","Maybe TF","","",""
"CG13894","FBgn0035157","DNA-binding with transcription factor activity","THAP","","TFscore=NA"
"CG14050","FBgn0040392","DNA-binding with transcription factor activity","zf-BED","","TFscore=NA"
"CG14117","FBgn0036331","DNA-binding with transcription factor activity","","Medium",""
"CG14183","FBgn0036931","Maybe TF","","",""
"CG14200","FBgn0031023","DNA-binding with transcription factor activity","","Medium",""
"CG14260","FBgn0039504","Maybe TF","","",""
"CG14438","FBgn0029899","DNA-binding with transcription factor activity","","Medium",""
"CG14441","FBgn0029895","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG14451","FBgn0037183","DNA-binding with transcription factor activity","","Medium",""
"CG14655","FBgn0037275","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG14667","FBgn0037317","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG14710","FBgn0037920","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG14711","FBgn0037922","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG14767","FBgn0040777","DNA-binding with transcription factor activity","","Medium",""
"CG15011","FBgn0035518","DNA-binding with transcription factor activity","zf-NF-X1","Medium","TFscore=6"
"CG15073","FBgn0034379","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15141","FBgn0032635","Maybe TF","","",""
"CG15262","FBgn0028852","Co-factor","","",""
"CG15269","FBgn0028878","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15270","FBgn0028879","Maybe TF","","",""
"CG15286","FBgn0028531","DNA-binding with transcription factor activity","","Medium",""
"CG1529","FBgn0031144","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15336","FBgn0030009","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15365","FBgn0030077","DNA-binding with transcription factor activity","","Medium",""
"CG15398","FBgn0031446","DNA-binding with transcription factor activity","","",""
"CG15435","FBgn0031608","DNA-binding with transcription factor activity","","Medium",""
"CG15436","FBgn0031610","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15514","FBgn0039712","DNA-binding with transcription factor activity","zf-BED","Medium","TFscore=6"
"CG15696","FBgn0038833","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG15710","FBgn0034120","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG15715","FBgn0036538","DNA-binding with transcription factor activity","","Medium",""
"CG15812","FBgn0035405","DNA-binding with transcription factor activity","HTH_psq","Medium","TFscore=6"
"CG15912","FBgn0029712","Maybe TF","","",""
"CG1602","FBgn0033186","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG1603","FBgn0033185","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG1620","FBgn0033183","DNA-binding with transcription factor activity","Myb_DNA-binding","Medium","TFscore=6"
"CG1647","FBgn0039602","DNA-binding with transcription factor activity","zf-C2H2","","TFscore=NA"
"CG1663","FBgn0033449","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG16779","FBgn0037698","DNA-binding with transcription factor activity","Myb_DNA-binding|zf-C2H2","Medium","TFscore=6"
"CG16863","FBgn0028931","DNA-binding with transcription factor activity","zf-BED","High","TFscore=5"
"CG16903","FBgn0040394","DNA-binding with transcription factor activity","","",""
"CG17068","FBgn0031098","Maybe TF","","",""
"CG17118","FBgn0032291","DNA-binding with transcription factor activity","","",""
"CG17186","FBgn0038741","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17209","FBgn0030687","DNA-binding with transcription factor activity","","",""
"CG17328","FBgn0028895","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17359","FBgn0036396","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17361","FBgn0036395","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17385","FBgn0033934","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17568","FBgn0032763","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17612","FBgn0031597","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17724","FBgn0033802","Maybe TF","","",""
"CG17801","FBgn0038550","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17802","FBgn0038549","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17803","FBgn0038547","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17806","FBgn0038548","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17829","FBgn0025635","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG17912","FBgn0032600","DNA-binding with transcription factor activity","zf-BED|zf-C2H2","Medium","TFscore=6"
"CG1792","FBgn0039860","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG18011","FBgn0033491","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG18262","FBgn0030012","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG18265","FBgn0036725","DNA-binding with transcription factor activity","","Medium",""
"CG18446","FBgn0033458","DNA-binding with transcription factor activity","","Medium",""
"CG18476","FBgn0037931","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG18599","FBgn0038592","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG18619","FBgn0032202","DNA-binding with transcription factor activity","bZIP","Medium","TFscore=6"
"CG18764","FBgn0042205","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG1894","FBgn0039585","Chromatin regulation","","",""
"CG1965","FBgn0037466","DNA-binding with transcription factor activity","","",""
"CG2051","FBgn0037376","Chromatin regulation","","",""
"CG2116","FBgn0030003","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2120","FBgn0030005","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2129","FBgn0030008","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2199","FBgn0035213","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2202","FBgn0030240","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2652","FBgn0025838","Maybe TF","","",""
"CG2678","FBgn0014931","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2712","FBgn0024975","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG2790","FBgn0027599","DNA-binding with transcription factor activity","","Medium",""
"CG2875","FBgn0029672","Maybe TF","CBF","","TFscore=NA"
"CG2889","FBgn0030206","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG30020","FBgn0050020","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG30080","FBgn0050080","DNA-binding with transcription factor activity","","",""
"CG3032","FBgn0029928","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG30401","FBgn0050401","DNA-binding with transcription factor activity","","Medium",""
"CG30403","FBgn0050403","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG30431","FBgn0050431","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG3065","FBgn0034946","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31126","FBgn0051126","Maybe TF","","",""
"CG31224","FBgn0051224","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31272","FBgn0051272","Maybe TF","","",""
"CG31301","FBgn0051301","Maybe TF","","",""
"CG31365","FBgn0051365","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31388","FBgn0051388","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31441","FBgn0051441","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31460","FBgn0051460","Maybe TF","","",""
"CG31612","FBgn0051612","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG31642","FBgn0051642","Maybe TF","","",""
"CG31759","FBgn0051759","Maybe TF","","",""
"CG31875","FBgn0051875","DNA-binding with transcription factor activity","SANT","Medium","TFscore=6"
"CG31955","FBgn0051955","Maybe TF","","",""
"CG32006","FBgn0052006","DNA-binding with transcription factor activity","Fork_head","Medium","TFscore=6"
"CG32105","FBgn0052105","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG32121","FBgn0052121","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG32264","FBgn0052264","Maybe TF","RPEL","","TFscore=NA"
"CG32532","FBgn0052532","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG32700","FBgn0267253","Maybe TF","","",""
"CG32767","FBgn0052767","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG32772","FBgn0052772","DNA-binding with transcription factor activity","AT_hook|zf-C2H2","Medium","TFscore=6"
"CG3281","FBgn0260741","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG32847","FBgn0052847","Maybe TF","","",""
"CG32982","FBgn0052982","DNA-binding with transcription factor activity","","Medium",""
"CG33017","FBgn0053017","Maybe TF","MADF","","TFscore=NA"
"CG33178","FBgn0053178","DNA-binding with transcription factor activity","","Medium",""
"CG33213","FBgn0053213","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG33260","FBgn0053260","Maybe TF","","",""
"CG3328","FBgn0034985","DNA-binding with transcription factor activity","","Medium",""
"CG33557","FBgn0053557","DNA-binding with transcription factor activity","HLH","High","TFscore=5"
"CG33671","FBgn0061359","Maybe TF","","",""
"CG33672","FBgn0061360","Maybe TF","","",""
"CG33695","FBgn0052831","DNA-binding with transcription factor activity","","Medium",""
"CG33785","FBgn0061362","Maybe TF","","",""
"CG33786","FBgn0061361","DNA-binding with transcription factor activity","","",""
"CG34031","FBgn0054031","DNA-binding with transcription factor activity","","High",""
"CG3407","FBgn0031573","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG34149","FBgn0083985","DNA-binding with transcription factor activity","","Medium",""
"CG34340","FBgn0085369","DNA-binding with transcription factor activity","Homeobox","Medium","TFscore=6"
"CG34367","FBgn0085396","DNA-binding with transcription factor activity","Homeobox","Medium","TFscore=6"
"CG34376","FBgn0085405","Maybe TF","FLYWCH","","TFscore=NA"
"CG34422","FBgn0085451","DNA-binding with transcription factor activity","ARID","Medium","TFscore=6"
"CG3491","FBgn0028887","DNA-binding with transcription factor activity","AT_hook","Medium","TFscore=6"
"CG3526","FBgn0040355","DNA-binding with transcription factor activity","","Medium",""
"CG3700","FBgn0034796","Maybe TF","","",""
"CG3711","FBgn0040344","DNA-binding with transcription factor activity","","",""
"CG3726","FBgn0029824","DNA-binding with transcription factor activity","AT_hook|HTH_psq_like","Medium","TFscore=6"
"CG3732","FBgn0034750","Maybe TF","","",""
"CG3815","FBgn0029861","DNA-binding with transcription factor activity","","",""
"CG3838","FBgn0032130","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG3847","FBgn0029867","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG3909","FBgn0027524","DNA-binding with transcription factor activity","","",""
"CG3919","FBgn0036423","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG3995","FBgn0038472","DNA-binding with transcription factor activity","zf-BED","Medium","TFscore=6"
"CG4042","FBgn0037018","DNA-binding with transcription factor activity","","",""
"CG4133","FBgn0031257","DNA-binding with transcription factor activity","","Medium",""
"CG42232","FBgn0250754","Maybe TF","","",""
"CG42507","FBgn0260233","Maybe TF","","",""
"CG42516","FBgn0260390","DNA-binding with transcription factor activity","","High",""
"CG42724","FBgn0261641","DNA-binding with transcription factor activity","","",""
"CG42726","FBgn0261679","DNA-binding with transcription factor activity","zf-C2H2","","TFscore=6"
"CG42741","FBgn0261705","DNA-binding with transcription factor activity","zf-C2H2","","TFscore=6"
"CG42748","FBgn0261802","DNA-binding with transcription factor activity","","",""
"CG4282","FBgn0034114","DNA-binding with transcription factor activity","AT_hook|zf-C2H2","Medium","TFscore=6"
"CG43163","FBgn0262719","Maybe TF","","",""
"CG4318","FBgn0030455","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG4328","FBgn0036274","DNA-binding with transcription factor activity","Homeobox","High","TFscore=5"
"CG43342","FBgn0263047","DNA-binding with transcription factor activity","","",""
"CG43343","FBgn0263048","DNA-binding with transcription factor activity","","",""
"CG43347","FBgn0263072","DNA-binding with transcription factor activity","zf-C2H2","","TFscore=6"
"CG4360","FBgn0038787","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG43675","FBgn0263750","DNA-binding with transcription factor activity","","Medium",""
"CG43689","FBgn0263772","DNA-binding with transcription factor activity","zf-C2HC","","TFscore=6"
"CG4374","FBgn0039078","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
"CG43897","FBgn0264489","DNA-binding with transcription factor activity","","Medium",""
"CG44002","FBgn0264744","DNA-binding with transcription factor activity","","Medium",""
"CG4404","FBgn0030432","DNA-binding with transcription factor activity","BESS","Medium","TFscore=6"
"CG4424","FBgn0038765","DNA-binding with transcription factor activity","zf-C2H2","Medium","TFscore=6"
