"" "gene_symbol"
"FBti0060049" ""
"FBti0020084" ""
"FBti0060696" ""
"FBgn0037610" "CG8043"
"FBgn0032294" "Vha16-5"
"FBti0019256" ""
"FBti0063379" ""
"FBti0018927" ""
"FBgn0036882" "CG9279"
"FBti0019585" ""
"FBti0062640" ""
"FBgn0037120" "CG11247"
"FBgn0263092" "CR43360"
"FBti0063759" ""
"FBti0018872" ""
"FBgn0262111" "f"
"FBgn0263855" "BubR1"
"FBgn0050088" "CG30088"
"FBti0060942" ""
"FBgn0033247" "Nup44A"
"FBgn0262413" "mir-9b"
"FBti0060940" ""
"FBgn0267636" "asRNA:CR45974"
"FBgn0053489" "CG33489"
"FBgn0031127" "CG1835"
"FBgn0262896" "CG43251"
"FBgn0053914" "CG33914"
"FBgn0028858" "CG10839"
"FBgn0263802" "lncRNA:CR43605"
"FBgn0267522" "28SrRNA-Psi:CR45862"
"FBgn0053095" "CG33095"
"FBgn0267590" "asRNA:CR45928"
"FBti0062007" ""
"FBgn0033490" "CG12917"
"FBgn0038070" "CG6753"
"FBgn0085294" "CG34265"
"FBgn0267571" "lncRNA:CR45911"
"FBgn0031733" "CG14006"
"FBti0061444" ""
"FBti0060243" ""
"FBgn0030912" "CG6023"
"FBgn0032416" "Gr33a"
"FBgn0031139" "CG11227"
"FBgn0261859" "CG42788"
"FBgn0034081" "CG10731"
"FBgn0262389" "mir-1017"
"FBgn0037363" "Atg17"
"FBgn0267581" "lncRNA:CR45921"
"FBti0061606" ""
"FBtr0304432_df_nrg" ""
"FBgn0053848" "His3:CG33848"
"FBgn0032929" "Mcm10"
"FBti0059914" ""
"FBti0059672" ""
"FBgn0042199" "CG13713"
"FBgn0039552" "CG12426"
"FBgn0024179" "wit"
"FBti0019687" ""
"FBti0019502" ""
"FBgn0267797" "lncRNA:CR46122"
"FBgn0053680" "CG33680"
"FBgn0283471" "wupA"
"FBti0060606" ""
"FBti0063319" ""
"FBgn0034785" "CG3649"
"FBgn0039732" "CG15525"
"FBti0063913" ""
"FBgn0038224" "ATPsynE"
"FBgn0040393" "CG14265"
"FBti0019146" ""
"FBti0063215" ""
"FBgn0264776" "CG44014"
"RR48340_transposable_element" ""
"FBgn0083053" "snoRNA:Psi18S-1347b"
"FBti0059712" ""
"FBgn0025643" "CG3588"
"FBgn0265049" "lncRNA:CR44164"
"FBti0064291" ""
"FBgn0038525" "CG14329"
"FBgn0262397" "mir-2c"
"FBti0019994" ""
"FBgn0020906" "Jon25Bi"
"FBti0061813" ""
"FBgn0086078" "snoRNA:Me28S-A774b"
"FBgn0035510" "Cpr64Aa"
"FBgn0034366" "Atg7"
"FBti0019351" ""
"FBti0063660" ""
"FBgn0036935" "CG14186"
"FBgn0034880" "ItgaPS5"
"FBgn0012017" "tRNA:Tyr-GTA-1-2"
"FBgn0265650" "lncRNA:CR44457"
"FBgn0265982" "lncRNA:CR44761"
"FBgn0034470" "Obp56d"
"FBgn0000056" "Adhr"
"FBti0019410" ""
"FBgn0262899" "CG43254"
"FBgn0261436" "DhpD"
"FBgn0265805" "lncRNA:CR44594"
"FBgn0034666" "CG9294"
"FBti0019800" ""
"FBgn0033869" "Cpr50Cb"
"FBti0062678" ""
"FBgn0266929" "lncRNA:CR45380"
"FBgn0031238" "CG3645"
"FBgn0266215" "asRNA:CR44910"
"FBgn0037151" "CG7130"
"FBgn0031462" "CG2964"
"FBti0063161" ""
"FBgn0036242" "CG6793"
"FBti0059679" ""
"FBgn0032744" "Ttc19"
"FBgn0033192" "Corin"
"FBti0061826" ""
"FBti0060432" ""
"FBti0063843" ""
"FBti0019805" ""
"FBgn0013699" "mt:tRNA:Leu-TAA"
"FBgn0010314" "Cks30A"
"FBti0063117" ""
"FBgn0262378" "mir-317"
"FBgn0038814" "CG15923"
"FBti0060993" ""
"FBgn0259918" "inaF-B"
"FBgn0033594" "CG13226"
"FBgn0027496" "epsilonCOP"
"FBgn0263503" "lncRNA:CR43492"
"FBgn0267081" "asRNA:CR45525"
"FBgn0030616" "RpL37a"
"FBgn0265575" "yin"
"FBgn0286871" "lncRNA:CR46393"
"FBgn0058298" "CG40298"
"FBgn0267809" "asRNA:CR46134"
"FBgn0001987" "Gli"
"FBgn0267072" "lncRNA:CR45516"
"FBgn0052160" "lncRNA:CR32160"
"FBgn0038279" "Sdr"
"FBgn0031306" "CG4577"
"FBgn0033703" "CG13170"
"FBgn0086037" "snoRNA:Me28S-A2958"
"FBgn0035949" "CG13314"
"FBgn0260469" "CR14578"
"FBgn0037625" "CG11768"
"FBti0060204" ""
"RR48345_transposable_element" ""
"FBti0062517" ""
"FBgn0025807" "Rad9"
"FBgn0264501" "lncRNA:CR43900"
"FBgn0028421" "Kap3"
"FBti0062199" ""
"FBti0063446" ""
"FBgn0001108" "DCTN1-p150"
"FBgn0011741" "Arp6"
"FBgn0053093" "CG33093"
"FBti0062189" ""
"FBgn0032169" "CG4709"
"FBgn0263647" "CG43638"
"FBgn0035642" "CG18586"
"FBgn0265755" "lncRNA:CR44562"
"FBti0059639" ""
"FBgn0033140" "CG12836"
"FBgn0014032" "Sptr"
"FBgn0030716" "CG9170"
"FBgn0028663" "VhaM9.7-b"
"FBti0019436" ""
"FBgn0051579" "tRNA:Ala-AGC-2-7"
"FBgn0030623" "PPYR1"
"FBgn0027574" "CG5815"
"FBgn0000546" "EcR"
"FBgn0045852" "ham"
"FBgn0002930" "nec"
"FBgn0260746" "Ect3"
"FBgn0037930" "CG14715"
"FBgn0053552" "CG33552"
"FBgn0038709" "CG15025"
"FBgn0052185" "edin"
"FBti0020435" ""
"FBti0062233" ""
"FBti0063940" ""
"FBgn0050277" "Oatp58Da"
"FBgn0027095" "Manf"
"FBgn0031231" "mRpL10"
"RR41993_transposable_element" ""
"FBgn0028645" "beat-Ib"
"FBgn0034459" "TTLL6A"
"FBgn0032363" "Dlg5"
"FBgn0031875" "CG3430"
"FBgn0036207" "CG10907"
"FBgn0052438" "SMC5"
"FBti0018982" ""
"FBgn0267292" "lncRNA:CR45728"
"FBgn0052189" "CG32189"
"FBgn0030385" "Ir11a"
"FBtr0309605_df_nrg" ""
"FBgn0046793" "CG32236"
"FBgn0036428" "Gbs-70E"
"FBgn0034631" "TAF1C-like"
"FBgn0265694" "lncRNA:CR44501"
"FBgn0265810" "asRNA:CR44599"
"FBgn0032067" "LManIV"
"FBtr0304366_df_nrg" ""
"FBgn0051450" "mRpS18A"
"FBti0020224" ""
"FBgn0263035" "CG43330"
"FBgn0028979" "tio"
"FBti0019221" ""
"FBgn0034392" "MFS15"
"FBgn0032030" "Wdr82"
"FBgn0032626" "CG12620"
"FBgn0052570" "TwdlY"
"FBti0060282" ""
"FBgn0038774" "CG5023"
"FBgn0266824" "lncRNA:CR45286"
"FBgn0050291" "CG30291"
"FBgn0025638" "Roc1a"
"FBti0061750" ""
"FBgn0037794" "CG6254"
"FBgn0039229" "Saf-B"
"FBgn0065064" "snoRNA:Psi28S-291"
"FBgn0017482" "T3dh"
"FBgn0031675" "CG9121"
"FBgn0266304" "asRNA:CR44969"
"FBgn0264502" "CG43901"
"FBgn0032348" "CG4751"
"FBgn0032973" "CG6675"
"FBti0063469" ""
"FBgn0013772" "Cyp6a8"
"FBgn0015286" "Rala"
"FBgn0031410" "CG17237"
"FBgn0051643" "CG31643"
"FBgn0035142" "Hipk"
"FBti0019348" ""
"FBgn0022724" "Taf8"
"FBgn0262027" "CR42838"
"FBgn0038737" "CG11447"
"FBgn0262431" "mir-1003"
"FBti0063145" ""
"FBgn0035012" "CG13590"
"FBgn0065107" "snmRNA:128"
"FBti0063768" ""
"FBgn0262418" "mir-6-3"
"FBti0061310" ""
"FBti0061294" ""
"FBti0019118" ""
"FBgn0034826" "CG13544"
"FBgn0261631" "CG42714"
"FBgn0266896" "lncRNA:CR45356"
"FBgn0267043" "CG45487"
"FBgn0262787" "CG43168"
"FBgn0036004" "Jarid2"
"FBti0019526" ""
"FBti0063180" ""
"FBgn0037399" "Or83c"
"FBti0019053" ""
"FBgn0025454" "Cyp6g1"
"FBti0020419" ""
"FBgn0263530" "mir-4917"
"FBgn0032040" "CG13386"
"FBgn0034000" "CG11808"
"FBgn0023529" "CG2918"
"FBgn0265688" "lncRNA:CR44495"
"FBti0019411" ""
"FBti0061195" ""
"FBgn0036031" "CG6761"
"FBgn0012010" "tRNA:Val-AAC-2-3"
"FBti0020393" ""
"FBgn0266222" "lncRNA:CR44917"
"FBgn0267890" "CR46178"
"FBgn0033875" "CG6357"
"FBti0064137" ""
"FBgn0039291" "CG13663"
"FBti0060565" ""
"FBgn0266858" "lncRNA:CR45319"
"FBgn0032800" "CG10137"
"FBti0063965" ""
"FBtr0304507_df_nrg" ""
"FBgn0032084" "CG13101"
"FBti0060994" ""
"FBgn0037547" "CG7910"
"FBti0019074" ""
"FBgn0038966" "pinta"
"FBgn0031454" "HemK2"
"FBgn0053730" "snmRNA:430d"
"FBgn0036255" "Atg12"
"FBgn0086603" "snoRNA:Or-CD2"
"FBgn0264815" "Pde1c"
"FBgn0037690" "Task7"
"FBgn0262572" "CG43112"
"FBgn0259145" "CG42260"
"FBgn0034540" "Lrt"
"FBgn0033191" "CG1598"
"FBgn0033555" "RpS15Ab"
"FBti0059954" ""
"FBti0019321" ""
"FBgn0266778" "lncRNA:CR45243"
"FBti0063204" ""
"FBgn0036266" "Tsen54"
"FBti0060253" ""
"FBgn0262200" "mir-962"
"FBgn0264868" "lncRNA:CR44059"
"FBgn0025630" "Rtca"
"FBgn0035708" "axed"
"FBgn0259226" "CG42326"
"FBgn0023388" "Dap160"
"FBgn0024806" "DIP2"
"FBgn0050419" "CG30419"
"FBti0064208" ""
"FBgn0036327" "CG10748"
"FBgn0029958" "Pdp"
"FBgn0003386" "Shaw"
"FBgn0039914" "mav"
"FBgn0085482" "CG34453"
"FBgn0260442" "rhea"
"FBti0061766" ""
"FBti0062433" ""
"FBgn0087011" "CG41520"
"FBgn0030016" "Or7a"
"FBgn0264952" "lncRNA:CR44121"
"FBtr0472799_df_nrg" ""
"FBgn0265047" "FDY"
"FBgn0038783" "CG4367"
"FBgn0034093" "CG15706"
"FBgn0053420" "5SrRNA:CR33420"
"FBtr0309708_df_nrg" ""
"FBtr0304278_df_nrg" ""
"FBti0062966" ""
"FBgn0283503" "Neurl4"
"FBgn0034937" "fzr2"
"FBti0060066" ""
"FBgn0035934" "TrpA1"
"FBgn0036170" "CG11714"
"FBti0063957" ""
"FBgn0264503" "CG43902"
"FBgn0025809" "Paf-AHalpha"
"FBgn0035756" "unc-13-4A"
"FBgn0011998" "tRNA:Val-CAC-2-2"
"FBgn0266868" "lncRNA:CR45329"
"FBgn0036990" "mRpL15"
"FBgn0038055" "trus"
"FBgn0085211" "RpS28-like"
"FBgn0031488" "Ccdc85"
"FBgn0050462" "ste24c"
"FBgn0262679" "CG43149"
"FBgn0052330" "tRNA:Glu-CTC-3-1"
"FBti0062676" ""
"FBti0064047" ""
"FBgn0052833" "CG32833"
"FBgn0033979" "Cyp6a19"
"FBgn0033097" "Zip42C.2"
"FBgn0085397" "Fili"
"FBgn0263144" "bin3"
"FBgn0266324" "asRNA:CR44989"
"FBgn0261453" "scaRNA:MeU2-C41"
"FBgn0036188" "CG7339"
"RR48302_transposable_element" ""
"FBgn0036677" "CG13023"
"FBgn0286033" "lncRNA:CR46353"
"FBgn0053375" "5SrRNA:CR33375"
"FBgn0086347" "Myo31DF"
"FBgn0086601" "snoRNA:Psi28S-3327c"
"FBti0062498" ""
"FBgn0020300" "geko"
"FBgn0052370" "tRNA:Ala-AGC-2-1"
"FBgn0034363" "CG5327"
"FBgn0037082" "CG5664"
"FBgn0053514" "CG33514"
"FBgn0261792" "snRNP-U1-C"
"FBgn0052452" "CG32452"
"FBgn0051663" "CG31663"
"FBgn0040606" "CG6503"
"RR48390_transposable_element" ""
"FBgn0037709" "CG8199"
"FBgn0030870" "CG6398"
"FBti0059826" ""
"FBti0061378" ""
"FBgn0051106" "CG31106"
"FBti0019291" ""
"FBgn0267067" "lncRNA:CR45511"
"FBti0019927" ""
"FBgn0034687" "CG11475"
"FBgn0034527" "CG9945"
"FBgn0033167" "CG1701"
"FBgn0039131" "CG12268"
"FBgn0053795" "CG33795"
"FBgn0000179" "bi"
"FBti0063125" ""
"FBgn0032124" "CG17855"
"FBgn0011859" "tRNA:Gly-GCC-1-1"
"FBti0062985" ""
"FBti0060166" ""
"FBgn0003162" "Pu"
"FBti0062728" ""
"FBtr0472932_df_nrg" ""
"FBgn0000810" "fs(1)K10"
"FBti0063359" ""
"FBgn0013323" "Ptth"
"FBgn0035279" "Cpr62Ba"
"FBgn0030725" "CG8958"
"FBgn0264996" "asRNA:CR44147"
"FBgn0266435" "CG45065"
"FBgn0003046" "Pcp"
"FBgn0267686" "lncRNA:CR46022"
"FBgn0035139" "CG13891"
"FBgn0033214" "CG1941"
"FBgn0259864" "Su(Ste):CR42433"
"FBti0064121" ""
"FBti0062552" ""
"FBgn0031295" "CG4375"
"FBgn0033392" "CG8027"
"FBgn0265883" "lncRNA:CR44672"
"FBgn0265718" "lncRNA:CR44525"
"FBgn0265910" "lncRNA:CR44699"
"FBgn0266901" "lncRNA:CR45361"
"FBgn0050187" "CG30187"
"FBti0061858" ""
"FBgn0031018" "narya"
"FBti0062424" ""
"FBgn0037777" "CG11722"
"FBgn0053834" "His1:CG33834"
"FBgn0046685" "Wsck"
"FBgn0022942" "Cbp80"
"FBti0063448" ""
"FBgn0034380" "Vps51"
"FBti0019858" ""
"FBgn0259733" "tal-AA"
"FBgn0053858" "His1:CG33858"
"FBgn0266388" "asRNA:CR45028"
"FBti0061730" ""
"FBgn0267561" "lncRNA:CR45901"
"FBti0018955" ""
"FBgn0029830" "Grip"
"FBgn0036868" "ms(3)76Ba"
"FBgn0052274" "Drsl1"
"FBgn0040235" "c12.1"
"FBti0020167" ""
"FBgn0004396" "CrebA"
"FBti0063338" ""
"FBgn0040817" "CG14132"
"FBgn0028532" "CG7968"
"FBgn0027594" "drpr"
"FBgn0050360" "Mal-A6"
"FBgn0029856" "CG11700"
"FBgn0038993" "CG13843"
"FBgn0011566" "Smyd3"
"FBgn0262971" "lncRNA:CR43282"
"FBgn0031388" "CG12674"
"FBgn0264566" "CG43938"
"FBgn0032785" "CG10026"
"FBgn0033431" "CG1827"
"FBti0061684" ""
"FBgn0265788" "lncRNA:CR44577"
"FBtr0304314_df_nrg" ""
"FBgn0264556" "Gr39a"
"FBgn0264273" "Sema2b"
"FBgn0262334" "mir-992"
"FBti0018962" ""
"FBgn0039313" "CG11892"
"FBti0019475" ""
"FBgn0004611" "Plc21C"
"FBgn0004395" "unk"
"FBgn0011860" "tRNA:Gly-GCC-1-2"
"FBti0063648" ""
"FBgn0263510" "nclb"
"FBgn0030556" "mRNA-cap"
"FBti0019171" ""
"FBgn0033934" "CG17385"
"FBti0060132" ""
"FBgn0004574" "Rop"
"FBti0060903" ""
"FBgn0052224" "asRNA:CR32224"
"FBgn0051201" "GluRIIE"
"FBgn0266674" "Sec15"
"FBti0062477" ""
"FBgn0266871" "lncRNA:CR45332"
"FBgn0050172" "CG30172"
"FBgn0036856" "CG9666"
"FBgn0267767" "lncRNA:CR46098"
"FBgn0046706" "Haspin"
"FBgn0039019" "HP1c"
"FBti0060776" ""
"FBgn0086026" "snoRNA:Me28S-G2596"
"FBgn0053278" "CG33278"
"FBgn0010612" "ATPsynG"
"FBti0063238" ""
"FBti0062939" ""
"FBgn0042119" "Cpr65Au"
"FBgn0264360" "asRNA:CR43812"
"FBgn0039172" "Spase22-23"
"FBti0020163" ""
"RR46358_transposable_element" ""
"FBti0020148" ""
"FBgn0033539" "Git"
"FBgn0264441" "lncRNA:CR43859"
"FBgn0029113" "Uba2"
"FBgn0002945" "nkd"
"FBti0019528" ""
"FBti0060213" ""
"FBti0060865" ""
"FBgn0035287" "CG13937"
"FBgn0266070" "lncRNA:CR44823"
"FBgn0011290" "Taf12"
"FBgn0262384" "mir-1014"
"FBgn0082998" "snoRNA:Psi28S-1192d"
"FBgn0035868" "CG7194"
"FBgn0040907" "mRpL33"
"FBti0063807" ""
"FBgn0011723" "byn"
"FBgn0052006" "CG32006"
"FBgn0036680" "Cpr73D"
"FBgn0283626" "lncRNA:CR46299"
"FBgn0054005" "CG34005"
"FBgn0267816" "lncRNA:CR46141"
"FBti0061420" ""
"FBgn0037747" "Naa80"
"FBgn0037751" "topi"
"FBgn0039486" "CAH9"
"FBtr0304519_df_nrg" ""
"FBgn0259230" "lectin-22C"
"FBgn0053252" "CG33252"
"FBgn0050375" "CG30375"
"FBgn0039228" "CG6980"
"FBgn0039073" "CG4408"
"FBgn0027779" "VhaSFD"
"FBti0020216" ""
"FBgn0040256" "Ugt35C1"
"FBgn0263667" "Lpt"
"FBgn0037888" "scpr-B"
"FBgn0039404" "CG14543"
"FBgn0264905" "lncRNA:CR44096"
"FBgn0263133" "mEFG1"
"FBgn0029708" "CG3556"
"FBti0061946" ""
"FBgn0033480" "mRpL42"
"FBti0019860" ""
"FBgn0038342" "B9d1"
"FBgn0005674" "GluProRS"
"FBgn0034822" "RpL37b"
"FBgn0265791" "lncRNA:CR44580"
"FBtr0472715_df_nrg" ""
"FBgn0266229" "lncRNA:CR44924"
"FBgn0259842" "Su(Ste):CR42411"
"FBgn0011768" "Fdh"
"FBgn0265625" "CG44433"
"FBgn0030344" "Nrd1"
"FBgn0265449" "lncRNA:CR44349"
"FBti0059660" ""
"FBgn0030520" "Pdcd4"
"FBgn0005648" "Pabp2"
"FBgn0017561" "Ork1"
"FBgn0037917" "wkd"
"FBti0064218" ""
"FBgn0265679" "lncRNA:CR44486"
"RR48342_transposable_element" ""
"FBti0063196" ""
"FBgn0086365" "Orct2"
"FBgn0017567" "ND-23"
"FBgn0035398" "Cht7"
"FBgn0050257" "tRNA:Thr-TGT-2-1"
"FBgn0032549" "CG4650"
"FBgn0004552" "Akh"
"FBti0064169" ""
"FBgn0053434" "5SrRNA:CR33434"
"FBgn0020412" "JIL-1"
"FBgn0039290" "CG13654"
"FBgn0267208" "asRNA:CR45648"
"FBti0019361" ""
"FBgn0051287" "CG31287"
"FBgn0266798" "asRNA:CR45260"
"FBgn0036977" "CG5665"
"FBgn0029959" "Rab39"
"FBgn0015010" "Ag5r"
"FBgn0085361" "CG34332"
"FBgn0030054" "Caf1-180"
"FBgn0259857" "Su(Ste):CR42426"
"FBgn0053440" "5SrRNA:CR33440"
"FBgn0032420" "CG6583"
"FBgn0038577" "CG12321"
"FBgn0052240" "CG32240"
"FBgn0003415" "skd"
"FBgn0037720" "CG8312"
"FBgn0034623" "CG9822"
"FBgn0264698" "lncRNA:CR43967"
"FBgn0038033" "CG10097"
"FBgn0036101" "NijA"
"FBtr0472787_df_nrg" ""
"FBgn0001112" "Gld"
"FBgn0038344" "obe"
"FBgn0024184" "unc-4"
"FBti0059880" ""
"FBgn0031264" "CG11835"
"FBgn0052982" "CG32982"
"FBgn0037678" "CG16749"
"FBti0060340" ""
"FBgn0000108" "Appl"
"FBgn0010414" "SerT"
"FBti0061274" ""
"FBgn0050199" "tRNA:Ala-CGC-1-2"
"FBgn0083983" "mRpL34"
"FBgn0041194" "Prat2"
"FBgn0036334" "CG11267"
"FBti0062821" ""
"FBgn0267709" "CG46042"
"RR48352_transposable_element" ""
"FBti0062121" ""
"FBgn0260484" "HIP"
"FBgn0264448" "asRNA:CR43866"
"FBgn0051072" "Lerp"
"FBgn0013277" "Hsp70Ba"
"FBgn0263582" "lncRNA:CR43607"
"FBgn0265627" "CG44435"
"FBgn0037718" "P58IPK"
"FBgn0032335" "CG14915"
"FBti0063435" ""
"FBgn0031286" "CG3862"
"FBgn0053117" "Victoria"
"FBgn0031873" "Gas41"
"FBti0060032" ""
"FBgn0050109" "CG30109"
"FBgn0039520" "Gr98a"
"FBti0061376" ""
"FBgn0264385" "lncRNA:CR43837"
"FBti0062070" ""
"FBgn0015295" "Shark"
"FBgn0286071" "AdamTS-A"
"FBgn0036040" "CG6749"
"FBgn0266701" "lncRNA:CR45191"
"FBti0018904" ""
"FBgn0034649" "PIG-M"
"FBgn0023479" "teq"
"FBgn0265197" "CG44257"
"FBgn0050015" "CG30015"
"FBgn0003002" "opa"
"FBgn0066114" "GlcAT-I"
"FBti0061454" ""
"FBgn0037070" "CG11309"
"FBgn0032377" "CG14937"
"FBgn0267180" "asRNA:CR45620"
"FBgn0027363" "Stam"
"FBti0060760" ""
"FBgn0031492" "CG3542"
"FBgn0032598" "ChLD3"
"FBgn0021875" "Zfrp8"
"FBgn0036531" "CG6244"
"FBgn0029552" "CG14631"
"FBtr0304235_df_nrg" ""
"FBgn0267517" "5.8SrRNA-Psi:CR45857"
"FBgn0012000" "tRNA:Val-CAC-2-3"
"FBti0060689" ""
"FBgn0086254" "Akr1B"
"FBti0063630" ""
"FBgn0040900" "CG17777"
"FBti0060771" ""
"FBti0061332" ""
"FBti0060088" ""
"FBgn0032020" "strat"
"FBgn0264428" "lncRNA:CR43846"
"FBgn0032601" "yellow-b"
"FBgn0266399" "lncRNA:CR45039"
"FBti0060557" ""
"FBgn0011863" "tRNA:Gly-GCC-1-5"
"FBgn0034660" "Loxl2"
"FBgn0023521" "CG3587"
"FBgn0032336" "AstC"
"FBgn0050074" "Obp50d"
"FBti0062395" ""
"FBgn0031143" "CG1532"
"FBgn0085276" "CG34247"
"FBti0060514" ""
"FBgn0041588" "eIF2D"
"FBgn0037094" "CG7611"
"FBgn0031986" "CG8673"
"FBgn0264941" "lncRNA:CR44110"
"FBgn0032721" "CG10602"
"FBgn0039557" "CG12259"
"FBgn0266157" "lncRNA:CR44863"
"FBti0061748" ""
"FBgn0033502" "CG12910"
"FBgn0053288" "CG33288"
"FBti0020309" ""
"FBgn0085491" "CG34462"
"FBgn0262191" "mir-2497"
"FBgn0051028" "CG31028"
"FBti0063610" ""
"FBgn0033673" "CG8298"
"FBgn0024293" "Spn43Ab"
"FBti0063656" ""
"FBgn0266598" "Kmn2"
"FBgn0036030" "Prps"
"FBgn0266777" "lncRNA:CR45242"
"FBgn0036299" "Tsf2"
"FBgn0037424" "Osi15"
"FBti0062427" ""
"FBgn0030645" "Alg14"
"FBgn0031876" "Atac1"
"FBgn0037101" "CG7634"
"FBgn0038725" "CG6184"
"FBgn0035855" "CG7366"
"FBgn0262560" "wcd"
"FBgn0263757" "Rpb4"
"FBgn0052675" "Tango5"
"FBgn0267488" "Mcr"
"FBgn0035016" "CG4612"
"FBgn0032262" "CG7384"
"FBgn0267304" "lncRNA:CR45740"
"FBgn0035555" "CG13720"
"FBgn0039277" "Nepl16"
"FBgn0263050" "CG43345"
"FBti0061673" ""
"FBti0060131" ""
"FBgn0039302" "Nup358"
"FBgn0031837" "DIP-iota"
"FBgn0033404" "Or45a"
"FBgn0037199" "EMC4"
"FBti0020113" ""
"FBgn0028418" "Lk"
"FBgn0284231" "CG46315"
"FBti0019181" ""
"FBgn0283547" "mir-9376"
"FBgn0051755" "SoYb"
"FBgn0039461" "CG5500"
"FBgn0261974" "snoRNA:Or-CD9b"
"FBgn0030542" "CG12481"
"FBgn0037894" "Ranbp9"
"FBgn0034406" "Jheh3"
"FBgn0029676" "HIP-R"
"FBti0059978" ""
"FBti0061851" ""
"FBti0064017" ""
"FBti0061733" ""
"FBti0062789" ""
"FBgn0031389" "CG4259"
"FBti0062122" ""
"FBgn0267480" "asRNA:CR45830"
"RR49017_transposable_element" ""
"FBgn0031695" "Cyp4ac3"
"FBgn0036066" "CG14160"
"FBgn0261270" "Sps1"
"FBgn0050345" "CG30345"
"FBti0061408" ""
"FBgn0030151" "CG1354"
"FBgn0039799" "CG15543"
"FBti0061304" ""
"FBgn0035257" "CG12011"
"FBgn0262290" "mir-iab-8"
"FBgn0039817" "CG15553"
"FBgn0051224" "CG31224"
"FBgn0032462" "CG16800"
"FBgn0054008" "CG34008"
"FBti0062310" ""
"FBti0062682" ""
"FBgn0267915" "lncRNA:CR46196"
"FBtr0304197_df_nrg" ""
"FBti0062658" ""
"FBti0062888" ""
"FBgn0263335" "lncRNA:CR43416"
"FBgn0013276" "Hsp70Ab"
"FBgn0039714" "Zip99C"
"FBgn0037832" "Desi"
"FBgn0054054" "CG34054"
"FBgn0263409" "lncRNA:CR43455"
"FBgn0267303" "lncRNA:CR45739"
"FBgn0020503" "CLIP-190"
"FBgn0082925" "snoRNA:Or-aca1"
"FBgn0033020" "COX4L"
"FBgn0030949" "Cyp308a1"
"FBgn0033355" "CG13748"
"FBgn0265728" "lncRNA:CR44535"
"FBgn0267627" "lncRNA:CR45965"
"FBgn0003977" "vir"
"FBgn0037802" "Sirt6"
"FBgn0023550" "FarO"
"FBgn0053263" "CG33263"
"FBti0062181" ""
"FBgn0085362" "Vml"
"FBgn0053642" "CG33642"
"FBgn0010263" "Rbp9"
"FBgn0262445" "mir-133"
"FBgn0032285" "CG17108"
"FBgn0035144" "Kah"
"FBti0061558" ""
"FBgn0286889" "lncRNA:CR46408"
"FBti0062721" ""
"FBgn0002855" "Acp26Aa"
"FBgn0030257" "SmydA-4"
"FBgn0004781" "Ccp84Ac"
"FBti0059988" ""
"FBgn0000157" "Dll"
"FBgn0035924" "CG6576"
"FBti0018889" ""
"FBgn0267442" "lncRNA:CR45792"
"FBgn0037502" "wa-cup"
"FBgn0051230" "CG31230"
"FBgn0030830" "CG5172"
"FBgn0030174" "CG15312"
"FBgn0039328" "CHKov2"
"FBgn0053877" "His4:CG33877"
"FBgn0036850" "Gem2"
"FBgn0267103" "lncRNA:CR45543"
